;;;;;;;;;;;;;;;;;;;;;;;;
-2.66744473241046E-8;2.8789582698834486E-7;3.843362206572821E-7;3.34702687933303E-8;1.4874701910559043E-7;-3.8849718153401426E-7;3.407883668577908E-7;3.7811427442147664E-7;3.679034277291477E-7;-1.9614742656209165E-7;3.434994980731677E-7;-3.5508696614658926E-7;3.5502303988525115E-7;7.69474460469919E-8;3.451378481729493E-7;-3.2632405138532E-7;3.4047635134784185E-7;-3.285911612892595E-7;-2.442682525075779E-7;-3.2672680119980544E-7;-3.2259340694830505E-7;3.28645313700118E-7;-3.237578435494995E-7;-3.1695442054433713E-7;2.6823431717308425E-7
-4.8177499249997905E-9;2.7552477822059543E-7;3.6983680466335807E-7;1.1323727651408637E-8;1.4724008447252257E-7;-3.7196584218743184E-7;3.470462928019984E-7;3.415452747415105E-7;3.393569689078573E-7;-2.2370564963285617E-7;2.525244093434095E-7;-2.7575205535670157E-7;3.3813335302995766E-7;2.0732082085736972E-8;2.965830075826634E-7;-3.376960524392706E-7;2.59216220197158E-7;-1.910484518696763E-7;-9.411556985103723E-8;-3.20580834990154E-7;-2.8732659552157997E-7;2.673637695021268E-7;-1.746509091452013E-7;-1.8839378762131977E-7;2.9467441898447946E-7
1.7038947486448716E-8;2.631537294466439E-7;3.5533738868731414E-7;-1.0822813478987285E-8;1.4573314984765915E-7;-3.554345028325223E-7;3.5301685671417625E-7;3.044025490556733E-7;3.089424154648969E-7;-2.5035889964602123E-7;1.6258345737945836E-7;-1.9626778821054372E-7;3.174096863186E-7;-3.618035000106553E-8;2.453050519628914E-7;-3.414722384181524E-7;1.7117624343857797E-7;-5.972103375956812E-8;4.744508996880888E-8;-3.0838832474307705E-7;-2.468072081126298E-7;1.9436876965278444E-7;-2.8870478144874378E-8;-5.700339129634483E-8;3.096312779356057E-7
3.889564492090742E-8;2.507826806660394E-7;3.408379727421419E-7;-3.296935458846097E-8;1.4422621523238788E-7;-3.3890316346347915E-7;3.5854279077640256E-7;2.664403714735273E-7;2.75909696316189E-7;-2.755032837928227E-7;7.546659821739281E-8;-1.1802162312604674E-7;2.9140435742602624E-7;-9.297489558017519E-8;1.9179138427470553E-7;-3.34358356604458E-7;7.677842810497171E-8;5.5726238673758675E-8;1.6903014148599871E-7;-2.894981435069268E-7;-2.023527115998344E-7;1.0905170216540928E-7;1.0223268689728122E-7;6.679184891808412E-8;3.100076559176444E-7
6.075234238577348E-8;2.38411631880696E-7;3.2633855683564676E-7;-5.511589567004524E-8;1.4271928062133157E-7;-3.2237182406942456E-7;3.634973649064481E-7;2.2754970051854814E-7;2.399509225261472E-7;-2.9852588377438945E-7;-6.40952376067932E-9;-4.3315802366194034E-8;2.595387703041876E-7;-1.4791681194562066E-7;1.3796079500640913E-7;-3.1446881095067734E-7;-2.0314095695133635E-8;1.445951585291456E-7;2.583405751387324E-7;-2.6513582408512305E-7;-1.572122058158788E-7;1.5366579637407344E-8;2.0457281850823045E-7;1.680628617377635E-7;2.9578157232646524E-7
8.260903988602888E-8;2.260405830938346E-7;3.118391409728567E-7;-7.726243671874148E-8;1.4121234600658528E-7;-3.05840484638548E-7;3.6777776947925175E-7;1.8772097997760236E-7;2.0106834599348634E-7;-3.188286461261081E-7;-8.032550163943517E-8;2.5066399090814134E-8;2.218350745674263E-7;-1.9878279178155473E-7;8.65315839508749E-8;-2.811138687590856E-7;-1.1466306717734687E-7;1.9809705616156282E-7;3.054152529448139E-7;-2.3771936341195895E-7;-1.149709500173687E-7;-8.013477067235772E-8;2.657972880693732E-7;2.3280762533456178E-7;2.697901915559701E-7
1.0446573742677771E-7;2.136695343084766E-7;2.9733972515847134E-7;-9.940897772945451E-8;1.3970541138146478E-7;-2.893091451619625E-7;3.7129968220347114E-7;1.4702184105255242E-7;1.594957398218017E-7;-3.3584445231448096E-7;-1.4350138164178883E-7;8.417996406366066E-8;1.787610468832178E-7;-2.431598040856201E-7;4.056764387242947E-8;-2.3471726162511465E-7;-2.0004721722258598E-7;2.1147501526199542E-7;3.0499431021364484E-7;-2.1032492918632804E-7;-7.844033320495786E-8;-1.6961652422635722E-7;2.7847271883325685E-7;2.517679471732119E-7;2.3719643147745233E-7
1.2632243501183424E-7;2.0129848552819772E-7;2.828403093964658E-7;-1.2155551869823343E-7;1.3819847673979475E-7;-2.727778056328832E-7;3.7399803906551167E-7;1.0558461149059837E-7;1.1565670840418165E-7;-3.490807323211745E-7;-1.9340672329740122E-7;1.3128582587569377E-7;1.3115616830542487E-7;-2.787679385361915E-7;3.0273266059510246E-9;-1.7682220341454514E-7;-2.704015608885827E-7;1.8537129819428074E-7;2.5808500776928967E-7;-1.8616411773156544E-7;-4.8986234711378385E-8;-2.4518976204086725E-7;2.422236604438832E-7;2.2304421565549985E-7;2.044859452845538E-7
1.4817913264393575E-7;1.8892743675671904E-7;2.683408936902128E-7;-1.4370205962213818E-7;1.3669154207612835E-7;-2.5624646604619413E-7;3.7582412947164624E-7;6.358745148093426E-8;7.010611780625165E-8;-3.581384476868972E-7;-2.279359046703132E-7;1.640790161392236E-7;8.012343874907714E-8;-3.036771587399795E-7;-2.3552241766693423E-8;-1.0992949757784009E-7;-3.205101033346365E-7;1.260377106200845E-7;1.72167228193882E-7;-1.681379951417516E-7;-2.6239709924134484E-8;-2.9992419439468836E-7;1.6418164289779495E-7;1.52789181835708E-7;1.782210040277997E-7
1.7003583032481717E-7;1.765563879979641E-7;2.538414780426612E-7;-1.658486004991998E-7;1.351846073855862E-7;-2.3971512639800186E-7;3.7674589778660676E-7;2.1240790453835297E-8;2.349016056797802E-8;-3.627382670673762E-7;-2.4558737965720803E-7;1.809018980357236E-7;2.695392205504717E-8;-3.164918275249229E-7;-3.731977559297771E-8;-3.730335653080244E-8;-3.465528150749537E-7;4.4590803834437765E-8;6.032699399894697E-8;-1.5844944697254083E-7;-8.240653812026162E-9;-3.2865893765462797E-7;5.8072665162604686E-8;5.432963835836869E-8;1.6371900139042791E-7
