% X;Y;w (m) @ lambda=1;w (m) @ lambda=2;w (m) @ lambda=3;w (m) @ lambda=4;w (m) @ lambda=5;w (m) @ lambda=6;w (m) @ lambda=7;w (m) @ lambda=8;w (m) @ lambda=9;w (m) @ lambda=10;w (m) @ lambda=11;w (m) @ lambda=12;w (m) @ lambda=13;w (m) @ lambda=14;w (m) @ lambda=15;w (m) @ lambda=16;w (m) @ lambda=17;w (m) @ lambda=18;w (m) @ lambda=19;w (m) @ lambda=20;w (m) @ lambda=21;w (m) @ lambda=22;w (m) @ lambda=23;w (m) @ lambda=24;w (m) @ lambda=25;w (m) @ lambda=26;w (m) @ lambda=27;w (m) @ lambda=28;w (m) @ lambda=29;w (m) @ lambda=30;w (m) @ lambda=31;w (m) @ lambda=32;w (m) @ lambda=33;w (m) @ lambda=34;w (m) @ lambda=35;w (m) @ lambda=36;w (m) @ lambda=37;w (m) @ lambda=38;w (m) @ lambda=39;w (m) @ lambda=40
0.0025000000000000005;0.0024999999999999996;-3.574820553049686E-10;-5.037568390176202E-8;2.1614345730504254E-8;3.8099980792476646E-7;-2.4750890736638884E-7;3.988484319281616E-7;3.57857787540484E-7;-3.905981471185716E-7;-3.854201229173986E-7;2.3317668928706707E-7;3.6623018154847907E-7;3.7906200901687495E-7;3.7881520309190606E-7;-5.127942231019754E-8;3.742658963229532E-7;-3.630757552887668E-7;3.7176646504868866E-7;3.6553259472310616E-7;-3.6497345616249004E-7;2.9021152371271313E-7;-3.619042172102907E-7;3.6285296330744734E-7;3.453989731375691E-7;3.1713414715844026E-7;-3.58703885234209E-7;-3.2330588302111324E-7;-3.543342239795935E-7;3.215280531991356E-7;3.558381325647757E-7;-3.2135898330584536E-7;-5.7229987680314817E-8;3.4665502592048125E-7;-3.495391814957303E-7;-2.2717836611973658E-7;3.500178469331692E-7;-3.4694270312569156E-7;-2.633317949468949E-11;3.4296023394263956E-7;-9.212999726405325E-8;3.409938634709991E-7
0.0075;0.0024999999999999996;-4.7025632755777345E-9;-4.440535665170986E-8;1.3752716294716025E-8;3.800228752298723E-7;-2.3138935834712968E-7;3.911594434738521E-7;3.605516612848273E-7;-3.724120058065469E-7;-3.7132377006403255E-7;2.4505993494445817E-7;3.2059267361227146E-7;3.385752099053366E-7;3.7029974243590496E-7;-2.452743449605154E-8;3.4863955977777315E-7;-3.6718764441340737E-7;3.322650109878992E-7;2.953553028442805E-7;-3.6237790767338126E-7;2.1319437725635448E-7;-3.468411661513471E-7;2.896422746548138E-7;3.1849264955694795E-7;3.2918543376117367E-7;-2.9424108599987627E-7;-3.0878523360517155E-7;-3.539761473026719E-7;2.145244808858289E-7;3.006169788449759E-7;-2.126814144572855E-7;3.169456806081538E-9;3.361765974462972E-7;-2.9185430738679544E-7;-2.447295343308478E-7;3.1005880571575975E-7;-2.457157290436866E-7;-2.0916029517533198E-11;3.186227283148328E-7;-2.511113430744029E-8;2.905281692242046E-7
0.0125;0.0024999999999999996;-9.04764449584372E-9;-3.8435029401744186E-8;5.891086858926997E-9;3.790459425349978E-7;-2.1526980932795977E-7;3.8347045501970256E-7;3.6321468888727606E-7;-3.541339383159867E-7;-3.5693344669355313E-7;2.568580429013672E-7;2.7497990532270146E-7;2.979319143773899E-7;3.612037982466245E-7;2.4558867953762532E-9;3.224819796133337E-7;-3.7025017763440457E-7;2.914039463650266E-7;2.254003773779748E-7;-3.5891395923928405E-7;1.365798439813984E-7;-3.3070227821554815E-7;2.1584280107666223E-7;2.894982814109727E-7;3.397902544117668E-7;-2.2817016121812317E-7;-2.9119953616807127E-7;-3.517993512071958E-7;1.0963374803254523E-7;2.425614211158469E-7;-1.055136398824202E-7;6.128951598425775E-8;3.243069896639759E-7;-2.3228769063697561E-7;-2.607071277905329E-7;2.659046829467729E-7;-1.439062948883649E-7;-1.7775940785863798E-11;2.8985436739432987E-7;4.2440704093986234E-8;2.3741179328860871E-7
0.017499999999999998;0.0024999999999999996;-1.339272571609704E-8;-3.2464702151933416E-8;-1.9705425768705334E-9;3.780690098401513E-7;-1.9915026030894237E-7;3.757814665658146E-7;3.6582569217340223E-7;-3.356998409494665E-7;-3.420496733589403E-7;2.6851096611924246E-7;2.2948589993228845E-7;2.5711432832643436E-7;3.511475902402762E-7;2.9775945919347472E-8;2.955494259467302E-7;-3.715722381074496E-7;2.4848058500791247E-7;1.5633328088542293E-7;-3.5416976914014516E-7;6.121745462557555E-8;-3.1303634793337937E-7;1.4179474139992046E-7;2.5728850880255904E-7;3.4819343065908523E-7;-1.6032656951935735E-7;-2.688191381351623E-7;-3.469585736021119E-7;1.0157712848567976E-8;1.8091757692346904E-7;-2.8124742221477837E-9;1.1445567325488918E-7;3.1098290721567694E-7;-1.7102323812063988E-7;-2.742704131148233E-7;2.1608064439881908E-7;-4.384172964969712E-8;-1.1995184020094181E-11;2.549972576300575E-7;1.0917888716548504E-7;1.8219719307325055E-7
0.022500000000000003;0.0024999999999999996;-1.7737806936328263E-8;-2.649437490232813E-8;-9.832172012701355E-9;3.7709207714533165E-7;-1.8303071129010164E-7;3.6809247811223546E-7;3.683662263829045E-7;-3.170803650621472E-7;-3.265832188478177E-7;2.799460761581911E-7;1.843122674588304E-7;2.162724376925003E-7;3.3995860319683494E-7;5.73338109604294E-8;2.6786860534552247E-7;-3.7076463765605815E-7;2.0351013061477024E-7;8.931495192718602E-8;-3.4797958843795215E-7;-1.1520829984271554E-8;-2.938846785428799E-7;6.876584001170589E-8;2.2172139711395694E-7;3.5387848421574013E-7;-9.189426330990277E-8;-2.4121602351361083E-7;-3.391995574663883E-7;-7.962744789491978E-8;1.1679799684872811E-7;9.119091709359541E-8;1.5979870438806595E-7;2.966933287782959E-7;-1.1000374990469483E-7;-2.8473029028908777E-7;1.614324840053506E-7;4.9987009010510464E-8;-9.18680192737432E-12;2.1468115790611644E-7;1.7198922397063552E-7;1.274461649062774E-7
0.027500000000000004;0.0024999999999999996;-2.2082888156528414E-8;-2.052404765298255E-8;-1.7693801448585825E-8;3.76115144450535E-7;-1.6691116227147357E-7;3.604034896590124E-7;3.708208784857976E-7;-2.982380354926518E-7;-3.104219321960142E-7;2.9110707018829895E-7;1.396647755431267E-7;1.7556233711349953E-7;3.274303441545277E-7;8.506457734809965E-8;2.394852063849475E-7;-3.674030293809402E-7;1.5646232408116047E-7;2.5534409858786777E-8;-3.4028048145318494E-7;-8.021403822885267E-8;-2.7330151425700486E-7;-1.901803217232399E-9;1.8257527929057125E-7;3.5653831223038344E-7;-2.415535129796363E-8;-2.0784329686668282E-7;-3.283448725352057E-7;-1.555654404667825E-7;5.1414018694139826E-8;1.724183088621028E-7;1.9435907506136987E-7;2.821925960718773E-7;-5.106106408132376E-8;-2.915711542687484E-7;1.0290562971069839E-7;1.3292313613058376E-7;-3.4806666811597927E-12;1.6936181290793463E-7;2.2780411133810313E-7;7.61001341704737E-8
0.0325;0.0024999999999999996;-2.6427969376684734E-8;-1.4553720403947289E-8;-2.5555430884559803E-8;3.75138211755745E-7;-1.5079161325307247E-7;3.527145012061599E-7;3.731735407750423E-7;-2.791533728348148E-7;-2.9350975810123294E-7;3.019190877544669E-7;9.584435646605734E-8;1.352659987702203E-7;3.1345743783174704E-7;1.1276070287839113E-7;2.1061478864692026E-7;-3.611914762294874E-7;1.0774553278023653E-7;-3.34778570267527E-8;-3.311305745061633E-7;-1.430632164814092E-7;-2.515888207694978E-7;-6.827219284769102E-8;1.4020055557667454E-7;3.5596998504547575E-7;4.079142196872784E-8;-1.68904500903376E-7;-3.144790203434352E-7;-2.1332018296134293E-7;-1.2931558032546898E-8;2.364354586842804E-7;2.1531398365355128E-7;2.6839835692035277E-7;3.195703536330064E-9;-2.942971913835806E-7;4.279041835477714E-8;1.995578508637335E-7;-4.909222984289019E-13;1.2065338833267703E-7;2.7284708783823824E-7;3.18816535053554E-8
0.037500000000000006;0.0024999999999999996;-3.077305059678493E-8;-8.583393155268527E-9;-3.3417060320664135E-8;3.741612790609404E-7;-1.3467206423490187E-7;3.4502551275367137E-7;3.754107894793727E-7;-2.5981867892652786E-7;-2.7582821829676344E-7;3.123140138823635E-7;5.316333404934848E-8;9.569369422357712E-8;2.980089682659725E-7;1.40187750813447E-7;1.8153548970234894E-7;-3.5197947127766417E-7;5.7908095577240174E-8;-8.634302716453007E-8;-3.20693933035423E-7;-1.9848075998423917E-7;-2.291501670071757E-7;-1.2856781671089637E-7;9.516532788582004E-8;3.522127042433316E-7;1.0097720612480018E-7;-1.2497830019971364E-7;-2.979219513740646E-7;-2.499942581069795E-7;-7.40296846962385E-8;2.802142423137291E-7;2.2097923337785323E-7;2.5617703762162843E-7;5.064626985988826E-8;-2.9280832683992587E-7;-1.658499873182805E-8;2.461138324760756E-7;2.8594167975858666E-12;7.032238600830195E-8;3.046130810141673E-7;-2.3675929329302945E-9
0.0425;0.0024999999999999996;-3.511813181681644E-8;-2.6130659069955503E-9;-4.127868975693863E-8;3.731843463660991E-7;-1.1855251521697506E-7;3.373365243015446E-7;3.775209831999414E-7;-2.402211549566226E-7;-2.5734118661176575E-7;3.222284148102499E-7;1.1944131835377458E-8;5.7172991000608897E-8;2.810174983523077E-7;1.6710392293679202E-7;1.525534101377498E-7;-3.395522065934979E-7;7.529407311871713E-9;-1.3173107121401862E-7;-3.091782210195856E-7;-2.4487912661954384E-7;-2.0630635505389415E-7;-1.8094662170025893E-7;4.805193576811109E-8;3.453983655446537E-7;1.542745980941726E-7;-7.665803213787295E-8;-2.7886914933501926E-7;-2.6344157863629903E-7;-1.2941647614287702E-7;3.0143257334934686E-7;2.0996680038820728E-7;2.462816738886819E-7;8.950204414989796E-8;-2.868369961358387E-7;-7.255119150175736E-8;2.6911433889827015E-7;4.959471964378236E-12;1.9882950507712155E-8;3.2058378970860273E-7;-2.3798704198391562E-8
0.0475;0.0024999999999999996;-3.9463213036762665E-8;3.3572613408307754E-9;-4.914031919343938E-8;3.7220741367119453E-7;-1.0243296619928508E-7;3.2964753584974917E-7;3.794927518195489E-7;-2.2036813153964178E-7;-2.3807652732128868E-7;3.315936418060462E-7;-2.745468915799784E-8;2.008377432713837E-8;2.625396897607807E-7;1.932075675638248E-7;1.2405633759546232E-7;-3.2392486039659475E-7;-4.2595887697927104E-8;-1.6849514482237287E-7;-2.9688751847024596E-7;-2.8096539691200104E-7;-1.835450005695294E-7;-2.2384253280212506E-7;-2.1998694868399126E-10;3.35895821565342E-7;1.9886529706384619E-7;-2.5113877797327555E-8;-2.5786119751150113E-7;-2.5338386212374843E-7;-1.769560177608968E-7;2.9960481131790273E-7;1.8255416058538416E-7;2.392991781192287E-7;1.1860986650927496E-7;-2.7668326134779087E-7;-1.2264528068687557E-7;2.6762499094906993E-7;4.103679900819444E-12;-2.8866110163155576E-8;3.202533027863578E-7;-3.118977101489559E-8
0.052500000000000005;0.0024999999999999996;-4.3808294256606996E-8;9.327588588164229E-9;-5.7001948630225044E-8;3.7123048097619834E-7;-8.631341718183678E-8;3.219585473982636E-7;3.813162842850256E-7;-2.002607875660886E-7;-2.1803991099943538E-7;3.403457010230893E-7;-6.46854843145613E-8;-1.520200543749307E-8;2.4258460922886437E-7;2.1820429057879729E-7;9.642612504799984E-8;-3.050360883582753E-7;-9.169976622382653E-8;-1.957024712673396E-7;-2.84118771094494E-7;-3.0562738891156597E-7;-1.6118283565340358E-7;-2.5584178419670864E-7;-4.87787547453782E-8;3.2409374906712845E-7;2.3301669671029476E-7;2.8526802573316498E-8;-2.3519131610915135E-7;-2.2069196033193632E-7;-2.1452505517169306E-7;2.753482903165151E-7;1.39563100267167E-7;2.3546641960959088E-7;1.3742253064493334E-7;-2.623456009186673E-7;-1.6434770110311746E-7;2.4154377361161693E-7;4.806718970822151E-12;-7.459676657351626E-8;3.0333028522392584E-7;-2.3807137300056647E-8
0.057499999999999996;0.0024999999999999996;-4.815337547632554E-8;1.5297915834960205E-8;-6.486357806737215E-8;3.7025354828105853E-7;-7.019386816462183E-8;3.1426955894703504E-7;3.829827012329264E-7;-1.799112263747398E-7;-1.97271371861962E-7;3.484204820293067E-7;-9.93759158089168E-8;-4.827401641918658E-8;2.21229289019316E-7;2.4176238994060706E-7;7.011055412498131E-8;-2.829677625611279E-7;-1.3885955582523436E-7;-2.1267950903109245E-7;-2.712729751458709E-7;-3.180918331936242E-7;-1.3959331005453964E-7;-2.7585312141186624E-7;-9.650640318477068E-8;3.1065306758715085E-7;2.5532826096254435E-7;8.270021480310407E-8;-2.1134580261922136E-7;-1.6815408219341687E-7;-2.403311657692396E-7;2.3118896010405144E-7;8.337495644507271E-8;2.348895369385518E-7;1.4616428871598845E-7;-2.4420847254974085E-7;-1.9536792236668029E-7;1.9321964579918865E-7;5.652140575610766E-12;-1.16005164017478E-7;2.714531658145988E-7;-2.4185253197221763E-9
0.0625;0.0024999999999999996;-5.2498456695895235E-8;2.126824308117947E-8;-7.272520750495604E-8;3.692766155857339E-7;-5.407431914763057E-8;3.065805704960151E-7;3.8448351636390373E-7;-1.59335767063103E-7;-1.758233947032867E-7;3.5576064126536166E-7;-1.3119871967520246E-7;-7.87802097806069E-8;1.985751883941527E-7;2.636088962399923E-7;4.547645690178176E-8;-2.5788158341647223E-7;-1.8334841177238E-7;-2.1924288304328423E-7;-2.5867261353562174E-7;-3.1818724452363087E-7;-1.1902842860582111E-7;-2.835366916464411E-7;-1.425234464584166E-7;2.961786112522312E-7;2.6534469517661246E-7;1.361064764132347E-7;-1.86733895211023E-7;-9.992150250074609E-8;-2.5377099619977885E-7;1.7107663982046825E-7;1.7191564118184144E-8;2.3718328005236707E-7;1.4608130451612466E-7;-2.228104224357668E-7;-2.1479513578064327E-7;1.2690442685743744E-7;5.357830295775153E-12;-1.5265391585585733E-7;2.2750562435547446E-7;3.0642502679098334E-8
0.0675;0.0024999999999999996;-5.684353791529867E-8;2.7238570326768495E-8;-8.058683694305355E-8;3.682996828901894E-7;-3.7954770130864464E-8;2.9889158204517366E-7;3.8581229521442115E-7;-1.3854656202319656E-7;-1.5373261364287036E-7;3.623119452556099E-7;-1.5983057089458432E-7;-1.0635570218533431E-7;1.7468914160402284E-7;2.834393704247768E-7;2.2934760893005243E-8;-2.298849538447579E-7;-2.2430274522166934E-7;-2.1538121735576515E-7;-2.4669455200915054E-7;-3.0586857325134134E-7;-9.961663018935454E-8;-2.785717197497087E-7;-1.8573938407581533E-7;2.8138332021155465E-7;2.6245737158660184E-7;1.8711774442861396E-7;-1.6158178931092475E-7;-2.0897561994200017E-8;-2.5386005767782686E-7;9.963753975602399E-8;-5.521361895963663E-8;2.418846652380738E-7;1.385281788907845E-7;-1.9834273402129187E-7;-2.2112888882064645E-7;4.738505483304423E-8;2.2963616734142337E-12;-1.838876893117155E-7;1.7457473564540174E-7;7.286073113595879E-8
