% X;Y;w (m) @ lambda=1;w (m) @ lambda=2;w (m) @ lambda=3;w (m) @ lambda=4;w (m) @ lambda=5;w (m) @ lambda=6;w (m) @ lambda=7;w (m) @ lambda=8;w (m) @ lambda=9;w (m) @ lambda=10;w (m) @ lambda=11;w (m) @ lambda=12;w (m) @ lambda=13;w (m) @ lambda=14;w (m) @ lambda=15;w (m) @ lambda=16;w (m) @ lambda=17;w (m) @ lambda=18;w (m) @ lambda=19;w (m) @ lambda=20;w (m) @ lambda=21;w (m) @ lambda=22;w (m) @ lambda=23;w (m) @ lambda=24;w (m) @ lambda=25;w (m) @ lambda=26;w (m) @ lambda=27;w (m) @ lambda=28;w (m) @ lambda=29;w (m) @ lambda=30;w (m) @ lambda=31;w (m) @ lambda=32;w (m) @ lambda=33;w (m) @ lambda=34;w (m) @ lambda=35;w (m) @ lambda=36;w (m) @ lambda=37;w (m) @ lambda=38;w (m) @ lambda=39;w (m) @ lambda=40
0.024999999999999998;0.22499999999999998;-7.864869726241573E-9;-5.474656595550473E-7;3.2015286457687214E-7;2.965376546295041E-7;-1.575507793117536E-7;7.986556000459973E-7;2.2943518408006443E-7;-6.676193346646159E-7;1.226601727519287E-7;-2.8218865999579413E-7;-4.0999934309690495E-7;-1.2806739631243624E-7;-4.3817853414028004E-7;-4.3178258479665E-7;5.241414036946291E-7;-1.4877556752366216E-7;4.838360971731817E-7;-2.3770072813171213E-7;-1.3772616767472193E-7;2.7671076657848154E-7;5.527660345679691E-8;-2.8305368115413605E-8;-4.991848549712841E-7;2.518194230490574E-7;1.1756858066393707E-7;-6.510801617375819E-7;-2.668537615456309E-7;3.2031676978082745E-7;-3.226919258563675E-7;-1.2331194238129605E-7;-2.7107557126456936E-7;-6.23274849741563E-8;-3.6900264735729306E-7;-5.217108181734402E-9;5.000795868913681E-7;-9.322037756913315E-8;9.365515447624644E-8;2.560596419727148E-7;-2.6415324731054866E-7;-7.873758695167201E-9
0.034999999999999996;0.22499999999999998;-7.414240306071649E-9;-5.30668234037645E-7;3.0556339258406174E-7;2.857874334829164E-7;-1.4725320617907434E-7;7.991062689468487E-7;2.2186224574441252E-7;-6.24196309456009E-7;9.401508344421262E-8;-2.597748250986054E-7;-3.929228308234584E-7;-1.5618409144839577E-7;-3.7475672980334367E-7;-3.9407181116846145E-7;4.832526428292293E-7;-1.5850855307750833E-7;4.178945289530979E-7;-2.273634558372934E-7;-6.433664604799022E-8;2.0120720831104984E-7;2.9621475198640297E-8;-4.375126090050093E-8;-4.2313725117878504E-7;1.8796639403820855E-7;7.589642800111531E-8;-6.154905440824513E-7;-1.1031677534118614E-7;3.424074020782016E-7;-2.826600214433139E-7;-9.347736892883479E-8;-1.9258776418307965E-7;-1.1677347228962553E-7;-3.0243173235548996E-7;-4.792177583995353E-9;3.636069437197294E-7;-1.8583835059131156E-7;1.3125803731008844E-7;1.5398253070266576E-7;-2.436199407300213E-7;4.238263234388059E-8
45;0.22499999999999998;-6.963610861266332E-9;-5.138708087495902E-7;2.909739205621195E-7;2.75037212441732E-7;-1.3695563289664715E-7;7.995569390833396E-7;2.1430185652215986E-7;-5.814128644473775E-7;6.502339914682084E-8;-2.375093467065823E-7;-3.764400714144502E-7;-1.8491605837075038E-7;-3.1256239263442147E-7;-3.564307106138784E-7;4.434827340867889E-7;-1.6869779508851252E-7;3.5206177609801254E-7;-2.1718866741719524E-7;6.921914739840838E-9;1.2818246709832732E-7;4.743652154415409E-9;-5.893839683677053E-8;-3.4652059542941113E-7;1.251066611925581E-7;3.4905979496752357E-8;-5.833263430717702E-7;3.636958022060142E-8;3.639120279835567E-7;-2.458742459004354E-7;-6.285505367181035E-8;-1.1469388518783743E-7;-1.6823944708006455E-7;-2.3843110311574666E-7;-5.647879048466103E-9;2.2882106532177424E-7;-2.6905416198544146E-7;1.658073071053884E-7;6.346635173847522E-8;-2.259952880284734E-7;8.71031299571663E-8
0.05499999999999999;0.22499999999999998;-6.512981389682586E-9;-4.970733835909812E-7;2.763844484171683E-7;2.642869914426142E-7;-1.2665805939202254E-7;8.000076101555386E-7;2.0673493307178353E-7;-5.393055405941732E-7;3.5772421987949805E-8;-2.153755927424171E-7;-3.604477105209334E-7;-2.1390034091943342E-7;-2.5196991358858557E-7;-3.1868046891625676E-7;4.047510816476258E-7;-1.7906341005686447E-7;2.8632505482491427E-7;-2.0682624245293788E-7;7.472614825006501E-8;5.880487247997452E-8;-1.8863388356576902E-8;-7.34739819774747E-8;-2.6923600561240737E-7;6.402181536599164E-8;-4.715119728734099E-9;-5.539432925821539E-7;1.6846796754067909E-7;3.830402600861147E-7;-2.1281226633323036E-7;-3.160793227204921E-8;-3.849858397100928E-8;-2.1425881502470025E-7;-1.7782067072223983E-7;-8.011425376156686E-9;9.80804350628377E-8;-3.3796479349072077E-7;1.9481946328919873E-7;-1.1299991055079445E-8;-2.1127765348826418E-7;1.237273000642528E-7
65;0.22499999999999998;-6.0623518877440185E-9;-4.802759584388856E-7;2.617949760469896E-7;2.5353677041140937E-7;-1.1636048558975444E-7;8.004582817962548E-7;1.991444083318301E-7;-4.979224856162031E-7;6.356258732881509E-9;-1.9337276518537958E-7;-3.4485987172344426E-7;-2.427674516893315E-7;-1.9340490577960918E-7;-2.8071447631478975E-7;3.6704575712349604E-7;-1.8933039332627911E-7;2.208608154788515E-7;-1.9597577988166032E-7;1.3773870840254204E-7;-5.669066092719752E-9;-4.0677052388557674E-8;-8.698163997240885E-8;-1.9152588154989094E-7;5.687890135647136E-9;-4.218168120173488E-8;-5.270629379605984E-7;2.8142102508375356E-7;3.9823790018617017E-7;-1.8407251064948478E-7;-9.378040488640572E-11;3.457720061338601E-8;-2.5245400054859467E-7;-1.216639615469741E-7;-1.198724163210179E-8;-2.5605159921423776E-8;-3.8843251126294073E-7;2.159320998273214E-7;-6.666625191486252E-8;-1.9951941831758847E-7;1.500725577956595E-7
75;0.22499999999999998;-5.611722351178612E-9;-4.6347853314250735E-7;2.4720550333922176E-7;2.427865492604566E-7;-1.0606291141259143E-7;8.009089535542094E-7;1.9151567405696536E-7;-4.573233033673062E-7;-2.312213926398958E-8;-1.7151804386823343E-7;-3.296080253457029E-7;-2.711414475806459E-7;-1.3734254363677348E-7;-2.4250547224892827E-7;3.3042785327616664E-7;-1.9922939024948723E-7;1.5604723388006286E-7;-1.8439749393807718E-7;1.94621413511086E-7;-6.394483385497604E-8;-6.016633661132305E-8;-9.908948630552506E-8;-1.1400826392460463E-7;-4.875470712594125E-8;-7.661427241504329E-8;-5.026859846590394E-7;3.710934987661397E-7;4.0820001936066057E-7;-1.602882337422156E-7;3.1101701625665046E-8;1.028172784669287E-7;-2.806368054883891E-7;-7.11873984761847E-8;-1.7541412669451223E-8;-1.386520009505823E-7;-4.1742051173625956E-7;2.2703690877488404E-7;-9.986605887587754E-8;-1.9078475448106887E-7;1.6452970029402944E-7
0.08499999999999999;0.22499999999999998;-5.161092776640421E-9;-4.466811075254157E-7;2.3261603017104234E-7;2.3203632789019933E-7;-9.576533678280714E-8;8.013596248981623E-7;1.8383604545348742E-7;-4.1757716460900027E-7;-5.255235318049407E-8;-1.4984251155318682E-7;-3.146360067382385E-7;-2.9864484491816887E-7;-8.428465197854852E-8;-2.0408377785809358E-7;2.9500527476501353E-7;-2.0849676649484696E-7;9.239148339593338E-8;-1.7189398747559182E-7;2.441162099643586E-7;-1.1477672955710661E-7;-7.682468769545138E-8;-1.094517089104629E-7;-3.75297472424177E-8;-9.812915003943024E-8;-1.0712708645869722E-7;-4.809696069794933E-7;4.3417842728814404E-7;4.11916697253122E-7;-1.4199266096036376E-7;6.125770439651675E-8;1.6445741848860533E-7;-2.9700269765155195E-7;-2.7523925259962814E-8;-2.4509399882109914E-8;-2.3757749801387227E-7;-4.2337419907192104E-7;2.26480418715546E-7;-1.0950203282716708E-7;-1.850209076468267E-7;1.663029506808985E-7
0.09499999999999999;0.22499999999999998;-4.710463162993279E-9;-4.298836813920774E-7;2.1802655641101612E-7;2.212861061954906E-7;-8.546776162320435E-8;8.018102952336735E-7;1.760945031565976E-7;-3.7875933631415416E-7;-8.181954644758744E-8;-1.2838628235632356E-7;-2.998940835100388E-7;-3.249126356688921E-7;-3.4733275538205094E-8;-1.6551153042816938E-7;2.60907290758774E-7;-2.1688000598928214E-7;3.045022787484711E-8;-1.5829050397762123E-7;2.8511788542634335E-7;-1.5706237384055477E-7;-9.020683034325252E-8;-1.1776110608753614E-7;3.6992446866524977E-8;-1.4134341820611608E-7;-1.3290164172940218E-7;-4.6212725265934125E-7;4.684979080239163E-7;4.086951695089474E-7;-1.295157116057497E-7;8.961591364765828E-8;2.179035778883342E-7;-3.002419058263248E-7;8.497635986363847E-9;-3.259516043673185E-8;-3.195422018884615E-7;-4.063917944352948E-7;2.1314775232199057E-7;-9.573393290726896E-8;-1.8200698996729986E-7;1.5550855886065308E-7
105;0.22499999999999998;-4.259833509554071E-9;-4.130862545176294E-7;2.034370819182362E-7;2.1053588405829114E-7;-7.517018585855696E-8;8.022609638706825E-7;1.682817939208366E-7;-3.4095424734754433E-7;-1.1080084867046998E-7;-1.072023270172813E-7;-2.853424777428816E-7;-3.495829085674942E-7;1.080299772526597E-8;-1.2690298988035747E-7;2.2829350961359142E-7;-2.2413335870149272E-7;-2.912558642899931E-8;-1.4344949512975917E-7;3.166933807101052E-7;-1.8984771067141822E-7;-9.992889326028358E-8;-1.2375834791193987E-7;1.0847705581157178E-7;-1.7736876632238064E-7;-1.5319069680721294E-7;-4.464319233549567E-7;4.73144162876294E-7;3.982045471673832E-7;-1.2296429843436663E-7;1.1533563175736745E-7;2.616757093268867E-7;-2.8964389514509943E-7;3.633639268686361E-8;-4.1354744850389534E-8;-3.822181223512471E-7;-3.683157630594509E-7;1.8661710699278738E-7;-6.043484595037445E-8;-1.81316258522353E-7;1.3323064893953218E-7
115;0.22499999999999998;-3.8092038145658565E-9;-3.9628882666227424E-7;1.888476065555639E-7;1.9978566135666871E-7;-6.487260942228577E-8;8.027116300649968E-7;1.6039085391836434E-7;-3.0424943968542585E-7;-1.393733429184716E-7;-8.635221244038873E-8;-2.70953048957689E-7;-3.7232233474402266E-7;5.1852960810635606E-8;-8.841270948864852E-8;1.9733609881527151E-7;-2.300356182185128E-7;-8.5656744909543E-8;-1.2728410815947247E-7;3.381774777957686E-7;-2.1242894661323848E-7;-1.0570960560842834E-7;-1.2725790394435444E-7;1.7578886576207141E-7;-2.05367572276326E-7;-1.674081029510633E-7;-4.3414919727804206E-7;4.48635011251184E-7;3.805126390437479E-7;-1.2218288134509533E-7;1.3758597050681276E-7;2.946033247445768E-7;-2.652289190161124E-7;5.583598481870218E-8;-5.027610564761778E-8;-4.241530185359066E-7;-3.1251626644856414E-7;1.4729239755485923E-7;-7.012471573702246E-9;-1.8235154639747647E-7;1.0140676833161627E-7
125;0.22499999999999998;-3.358574074350243E-9;-3.794913975711798E-7;1.7425813018722585E-7;1.8903543796528266E-7;-5.4575032251598386E-8;8.031622930091792E-7;1.5241572839516167E-7;-2.687366162954393E-7;-1.6740990379995092E-7;-6.590215675672174E-8;-2.566965212691003E-7;-3.928197999281189E-7;8.797622045594047E-8;-5.020356170639261E-8;1.68196516607516E-7;-2.343795412719327E-7;-1.3849457984643156E-7;-1.0971265376536638E-7;3.491582417888391E-7;-2.2436820702146405E-7;-1.0737796727219549E-7;-1.2813285718259498E-7;2.3787240764728322E-7;-2.2473056656248794E-7;-1.7513094880048664E-7;-4.2546904325592887E-7;3.9690122823553156E-7;3.560182710140495E-7;-1.267040804679545E-7;1.556161232598774E-7;3.159164572214542E-7;-2.2763879756861472E-7;6.73382934901977E-8;-5.874660094851495E-8;-4.450210075433377E-7;-2.437376178082457E-7;9.624312111689628E-8;5.979778814750542E-8;-1.8434644044873657E-7;6.273966876759804E-8
